NestID,BandID,startI,endI,NestFate,geometry
9003_2023_2,9003,2023-06-05,2023-06-08,0,"c(1948495.60888847, 187149.495714803)"
9005_2023_1,9005,2023-05-04,2023-05-11,0,"c(1946210.1345691, 186765.67886862)"
9005_2023_2,9005,2023-06-21,2023-06-29,1,"c(1948135.55248738, 188572.824258638)"
9007_2023_1,9007,2023-05-04,2023-05-29,1,"c(1947120.01988616, 187213.001661192)"
9009_2024_1,9009,2024-05-30,2024-06-11,1,"c(1929316.10813595, 181364.494649365)"
9010_2023_1,9010,2023-05-01,2023-05-05,0,"c(1927920.37776951, 185689.586807427)"
9010_2023_2,9010,2023-06-15,2023-06-25,1,"c(1928212.05716849, 185830.1554475)"
9010_2024_1,9010,2024-05-30,2024-06-07,1,"c(1927893.97761343, 184709.550543575)"
9013_2023_1,9013,2023-04-23,2023-05-08,0,"c(1927559.51506085, 182958.322639772)"
9013_2023_2,9013,2023-06-30,2023-07-22,0,"c(1926583.67406579, 183432.96771571)"
9013_2024_2,9013,2024-06-14,2024-06-24,1,"c(1929532.06886436, 183287.562254971)"
9013_2024_1,9013,2024-04-30,2024-05-10,0,"c(1927607.80277908, 182996.792385467)"
9020_2024_1,9020,2024-04-30,2024-05-07,0,"c(1935717.58293587, 138758.36930549)"
9021_2024_1,9021,2024-05-08,2024-05-10,0,"c(1933239.14889156, 143113.296868792)"
9022_2023_2,9022,2023-06-30,2023-07-01,0,"c(1935007.93649172, 141507.807521105)"
9023_2023_1,9023,2023-05-19,2023-05-22,0,"c(1949290.89394092, 151363.073262643)"
9023_2023_2,9023,2023-06-22,2023-06-26,0,"c(1949644.10712952, 151110.814904014)"
9024_2023_2,9024,2023-05-29,2023-06-02,0,"c(1948917.2257235, 153662.023411772)"
9024_2023_1,9024,2023-04-29,2023-05-02,0,"c(1949514.63085945, 152560.329300686)"
9027_2023_1,9027,2023-04-29,2023-05-02,0,"c(1949768.23335419, 149206.539943074)"
9034_2024_1,9034,2024-06-04,2024-06-19,1,"c(1931998.74858224, 145060.381977948)"
9040_2024_1,9040,2024-05-04,2024-05-07,0,"c(1931050.65348387, 142667.34701899)"
9054_2023_2,9054,2023-05-25,2023-06-17,1,"c(1918985.98351874, 65503.7220234504)"
9054_2023_1,9054,2023-04-25,2023-05-01,0,"c(1919192.44039367, 64926.9530676842)"
9055_2023_1,9055,2023-05-12,2023-05-16,0,"c(1922467.6232379, 66215.1619485295)"
9055_2023_2,9055,2023-06-10,2023-06-17,0,"c(1922571.56785248, 66081.2663112)"
9058_2023_1,9058,2023-04-23,2023-04-24,0,"c(1921060.3908638, 65770.7751418897)"
9062_2023_1,9062,2023-06-17,2023-06-23,0,"c(1939360.67947551, 12437.8281914513)"
9064_2023_1,9064,2023-04-23,2023-04-28,0,"c(1941286.31162455, 11855.289134688)"
9065_2023_1,9065,2023-05-17,2023-06-11,1,"c(1931127.38762102, 13790.0241521976)"
9068_2023_1,9068,2023-04-22,2023-05-03,0,"c(1937479.71160351, 22222.8322019072)"
9076_2023_2,9076,2023-07-18,2023-08-10,0,"c(1986520.3095982, 82923.5834746061)"
9076_2023_1,9076,2023-06-07,2023-06-22,0,"c(1986412.60657377, 82956.9889371997)"
9079_2023_1,9079,2023-05-26,2023-05-29,0,"c(1982238.44737304, 78931.6269100869)"
9083_2023_1,9083,2023-05-05,2023-05-11,0,"c(1957861.35611504, 105462.740284352)"
